,instant,dteday,season,temp,hum,windspeed
0,1,2011-01-01,1,0.24,0.81,0.0
1,2,2011-01-01,1,0.22,0.8,0.0
2,3,2011-01-01,1,0.22,0.8,0.0
3,4,2011-01-01,1,0.24,0.75,0.0
4,5,2011-01-01,1,0.24,0.75,0.0
5,6,2011-01-01,1,0.24,0.75,0.0896
6,7,2011-01-01,1,0.22,0.8,0.0
7,8,2011-01-01,1,0.2,0.86,0.0
8,9,2011-01-01,1,0.24,0.75,0.0
9,10,2011-01-01,1,0.32,0.76,0.0
10,11,2011-01-01,1,0.38,0.76,0.2537
11,12,2011-01-01,1,0.36,0.81,0.2836
12,13,2011-01-01,1,0.42,0.77,0.2836
13,14,2011-01-01,1,0.46,0.72,0.2985
14,15,2011-01-01,1,0.46,0.72,0.2836
15,16,2011-01-01,1,0.44,0.77,0.2985
16,17,2011-01-01,1,0.42,0.82,0.2985
17,18,2011-01-01,1,0.44,0.82,0.2836
18,19,2011-01-01,1,0.42,0.88,0.2537
19,20,2011-01-01,1,0.42,0.88,0.2537
20,21,2011-01-01,1,0.4,0.87,0.2537
21,22,2011-01-01,1,0.4,0.87,0.194
22,23,2011-01-01,1,0.4,0.94,0.2239
23,24,2011-01-01,1,0.46,0.88,0.2985
24,25,2011-01-02,1,0.46,0.88,0.2985
25,26,2011-01-02,1,0.44,0.94,0.2537
26,27,2011-01-02,1,0.42,1.0,0.2836
27,28,2011-01-02,1,0.46,0.94,0.194
28,29,2011-01-02,1,0.46,0.94,0.194
29,30,2011-01-02,1,0.42,0.77,0.2985
30,31,2011-01-02,1,0.4,0.76,0.194
31,32,2011-01-02,1,0.4,0.71,0.2239
32,33,2011-01-02,1,0.38,0.76,0.2239
33,34,2011-01-02,1,0.36,0.81,0.2239
34,35,2011-01-02,1,0.36,0.71,0.2537
35,36,2011-01-02,1,0.36,0.66,0.2985
36,37,2011-01-02,1,0.36,0.66,0.1343
37,38,2011-01-02,1,0.36,0.76,0.194
38,39,2011-01-02,1,0.34,0.81,0.1642
39,40,2011-01-02,1,0.34,0.71,0.1642
40,41,2011-01-02,1,0.34,0.57,0.194
41,42,2011-01-02,1,0.36,0.46,0.3284
42,43,2011-01-02,1,0.32,0.42,0.4478
43,44,2011-01-02,1,0.3,0.39,0.3582
44,45,2011-01-02,1,0.26,0.44,0.3284
45,46,2011-01-02,1,0.24,0.44,0.2985
46,47,2011-01-02,1,0.22,0.47,0.1642
47,48,2011-01-03,1,0.22,0.44,0.3582
